id,code,description,category
3884,K229,"DISEASE OF OESOPHAGUS, UNSPECIFIED",11
3885,K230,TUBERCULOUS OESOPHAGITIS,11
3886,K231,MEGAOESOPHAGUS IN CHAGAS' DISEASE,11
3887,K238,DISORDERS OF OESOPHAGUS IN OTHER DISEASES CLASSIFIED ELSEWHERE,11
3888,K250,GASTRIC ULCER: ACUTE WITH HAEMORRHAGE,11
3889,K251,GASTRIC ULCER: ACUTE WITH PERFORATION,11
3890,K252,GASTRIC ULCER: ACUTE WITH BOTH HAEMORRHAGE AND PERFORATION,11
3891,K253,GASTRIC ULCER: ACUTE WITHOUT HAEMORRHAGE OR PERFORATION,11
3892,K254,GASTRIC ULCER: CHRONIC OR UNSPECIFIED WITH HAEMORRHAGE,11
3893,K255,GASTRIC ULCER: CHRONIC OR UNSPECIFIED WITH PERFORATION,11
3894,K256,GASTRIC ULCER: CHRONIC OR UNSPECIFIED WITH BOTH HAEMORRHAGE AND PERFORATION,11
3895,K257,GASTRIC ULCER: CHRONIC WITHOUT HAEMORRHAGE OR PERFORATION,11
3896,K259,"GASTRIC ULCER: UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT HAEMORRHAGE OR PERFORATION",11
3897,K260,DUODENAL ULCER: ACUTE WITH HAEMORRHAGE,11
3898,K261,DUODENAL ULCER: ACUTE WITH PERFORATION,11
3899,K262,DUODENAL ULCER: ACUTE WITH BOTH HAEMORRHAGE AND PERFORATION,11
3900,K263,DUODENAL ULCER: ACUTE WITHOUT HAEMORRHAGE OR PERFORATION,11
3901,K264,DUODENAL ULCER: CHRONIC OR UNSPECIFIED WITH HAEMORRHAGE,11
3902,K265,DUODENAL ULCER: CHRONIC OR UNSPECIFIED WITH PERFORATION,11
3903,K266,DUODENAL ULCER: CHRONIC OR UNSPECIFIED WITH BOTH HAEMORRHAGE AND PERFORATION,11
3904,K267,DUODENAL ULCER: CHRONIC WITHOUT HAEMORRHAGE OR PERFORATION,11
3905,K269,"DUODENAL ULCER: UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT HAEMORRHAGE OR PERFORATION",11
3906,K270,"PEPTIC ULCER, SITE UNSPECIFIED: ACUTE WITH HAEMORRHAGE",11
3907,K271,"PEPTIC ULCER, SITE UNSPECIFIED: ACUTE WITH PERFORATION",11
3908,K272,"PEPTIC ULCER, SITE UNSPECIFIED: ACUTE WITH BOTH HAEMORRHAGE AND PERFORATION",11
3909,K273,"PEPTIC ULCER, SITE UNSPECIFIED: ACUTE WITHOUT HAEMORRHAGE OR PERFORATION",11
3910,K274,"PEPTIC ULCER, SITE UNSPECIFIED: CHRONIC OR UNSPECIFIED WITH HAEMORRHAGE",11
3911,K275,"PEPTIC ULCER, SITE UNSPECIFIED: CHRONIC OR UNSPECIFIED WITH PERFORATION",11
3912,K276,"PEPTIC ULCER, SITE UNSPECIFIED: CHRONIC OR UNSPECIFIED WITH BOTH HAEMORRHAGE AND PERFORATION",11
3913,K277,"PEPTIC ULCER, SITE UNSPECIFIED: CHRONIC WITHOUT HAEMORRHAGE OR PERFORATION",11
3914,K279,"PEPTIC ULCER, SITE UNSPECIFIED: UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT HAEMORRHAGE OR PERFORATION",11
3915,K280,GASTROJEJUNAL ULCER: ACUTE WITH HAEMORRHAGE,11
3916,K281,GASTROJEJUNAL ULCER: ACUTE WITH PERFORATION,11
3917,K282,GASTROJEJUNAL ULCER: ACUTE WITH BOTH HAEMORRHAGE AND PERFORATION,11
3918,K283,GASTROJEJUNAL ULCER: ACUTE WITHOUT HAEMORRHAGE OR PERFORATION,11
3919,K284,GASTROJEJUNAL ULCER: CHRONIC OR UNSPECIFIED WITH HAEMORRHAGE,11
3920,K285,GASTROJEJUNAL ULCER: CHRONIC OR UNSPECIFIED WITH PERFORATION,11
3921,K286,GASTROJEJUNAL ULCER: CHRONIC OR UNSPECIFIED WITH BOTH HAEMORRHAGE AND PERFORATION,11
3922,K287,GASTROJEJUNAL ULCER: CHRONIC WITHOUT HAEMORRHAGE OR PERFORATION,11
3923,K289,"GASTROJEJUNAL ULCER: UNSPECIFIED AS ACUTE OR CHRONIC, WITHOUT HAEMORRHAGE OR PERFORATION",11
3924,K290,ACUTE HAEMORRHAGIC GASTRITIS,11
3925,K291,OTHER ACUTE GASTRITIS,11
3926,K292,ALCOHOLIC GASTRITIS,11
3927,K293,CHRONIC SUPERFICIAL GASTRITIS,11
3928,K294,CHRONIC ATROPHIC GASTRITIS,11
3929,K295,"CHRONIC GASTRITIS, UNSPECIFIED",11
3930,K296,OTHER GASTRITIS,11
3931,K297,"GASTRITIS, UNSPECIFIED",11
3932,K298,DUODENITIS,11
3933,K299,"GASTRODUODENITIS, UNSPECIFIED",11
3934,K30X,DYSPEPSIA,11
3935,K310,ACUTE DILATATION OF STOMACH,11
3936,K311,ADULT HYPERTROPHIC PYLORIC STENOSIS,11
3937,K312,HOURGLASS STRICTURE AND STENOSIS OF STOMACH,11
3938,K313,"PYLOROSPASM, NOT ELSEWHERE CLASSIFIED",11
3939,K314,GASTRIC DIVERTICULUM,11
3940,K315,OBSTRUCTION OF DUODENUM,11
3941,K316,FISTULA OF STOMACH AND DUODENUM,11
3942,K317,POLYP OF STOMACH AND DUODENUM,11
3943,K318,OTHER SPECIFIED DISEASES OF STOMACH AND DUODENUM,11
3944,K319,"DISEASE OF STOMACH AND DUODENUM, UNSPECIFIED",11
3945,K350,ACUTE APPENDICITIS WITH GENERALIZED PERITONITIS,11
3946,K351,ACUTE APPENDICITIS WITH PERITONEAL ABSCESS,11
3947,K359,"ACUTE APPENDICITIS, UNSPECIFIED",11
3948,K36X,OTHER APPENDICITIS,11
3949,K37X,UNSPECIFIED APPENDICITIS,11
3950,K380,HYPERPLASIA OF APPENDIX,11
3951,K381,APPENDICULAR CONCRETIONS,11
3952,K382,DIVERTICULUM OF APPENDIX,11
3953,K383,FISTULA OF APPENDIX,11
3954,K388,OTHER SPECIFIED DISEASES OF APPENDIX,11
3955,K389,"DISEASE OF APPENDIX, UNSPECIFIED",11
3956,K400,"BILATERAL INGUINAL HERNIA, WITH OBSTRUCTION, WITHOUT GANGRENE",11
3957,K401,"BILATERAL INGUINAL HERNIA, WITH GANGRENE",11
3958,K402,"BILATERAL INGUINAL HERNIA, WITHOUT OBSTRUCTION OR GANGRENE",11
3959,K403,"UNILATERAL OR UNSPECIFIED INGUINAL HERNIA, WITH OBSTRUCTION, WITHOUT GANGRENE",11
3960,K404,"UNILATERAL OR UNSPECIFIED INGUINAL HERNIA, WITH GANGRENE",11
3961,K409,"UNILATERAL OR UNSPECIFIED INGUINAL HERNIA, WITHOUT OBSTRUCTION OR GANGRENE",11
3962,K410,"BILATERAL FEMORAL HERNIA, WITH OBSTRUCTION, WITHOUT GANGRENE",11
3963,K411,"BILATERAL FEMORAL HERNIA, WITH GANGRENE",11
3964,K412,"BILATERAL FEMORAL HERNIA, WITHOUT OBSTRUCTION OR GANGRENE",11
3965,K413,"UNILATERAL OR UNSPECIFIED FEMORAL HERNIA, WITH OBSTRUCTION, WITHOUT GANGRENE",11
3966,K414,"UNILATERAL OR UNSPECIFIED FEMORAL HERNIA, WITH GANGRENE",11
3967,K419,"UNILATERAL OR UNSPECIFIED FEMORAL HERNIA, WITHOUT OBSTRUCTION OR GANGRENE",11
3968,K420,"UMBILICAL HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",11
3969,K421,UMBILICAL HERNIA WITH GANGRENE,11
3970,K429,UMBILICAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE,11
3971,K430,"VENTRAL HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",11
3972,K431,VENTRAL HERNIA WITH GANGRENE,11
3973,K439,VENTRAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE,11
3974,K440,"DIAPHRAGMATIC HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",11
3975,K441,DIAPHRAGMATIC HERNIA WITH GANGRENE,11
3976,K449,DIAPHRAGMATIC HERNIA WITHOUT OBSTRUCTION OR GANGRENE,11
3977,K450,"OTHER SPECIFIED ABDOMINAL HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",11
3978,K451,OTHER SPECIFIED ABDOMINAL HERNIA WITH GANGRENE,11
3979,K458,OTHER SPECIFIED ABDOMINAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE,11
3980,K460,"UNSPECIFIED ABDOMINAL HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE",11
3981,K461,UNSPECIFIED ABDOMINAL HERNIA WITH GANGRENE,11
3982,K469,UNSPECIFIED ABDOMINAL HERNIA WITHOUT OBSTRUCTION OR GANGRENE,11
3983,K500,CROHN'S DISEASE OF SMALL INTESTINE,11
3984,K501,CROHN'S DISEASE OF LARGE INTESTINE,11
3985,K508,OTHER CROHN'S DISEASE,11
3986,K509,"CROHN'S DISEASE, UNSPECIFIED",11
3987,K510,ULCERATIVE (CHRONIC) ENTEROCOLITIS,11
3988,K511,ULCERATIVE (CHRONIC) ILEOCOLITIS,11
3989,K512,ULCERATIVE (CHRONIC) PROCTITIS,11
3990,K513,ULCERATIVE (CHRONIC) RECTOSIGMOIDITIS,11
3991,K514,PSEUDOPOLYPOSIS OF COLON,11
3992,K515,MUCOSAL PROCTOCOLITIS,11
3993,K518,OTHER ULCERATIVE COLITIS,11
3994,K519,"ULCERATIVE COLITIS, UNSPECIFIED",11
3995,K520,GASTROENTERITIS AND COLITIS DUE TO RADIATION,11
3996,K521,TOXIC GASTROENTERITIS AND COLITIS,11
3997,K522,ALLERGIC AND DIETETIC GASTROENTERITIS AND COLITIS,11
3998,K528,OTHER SPECIFIED NONINFECTIVE GASTROENTERITIS AND COLITIS,11
3999,K529,"NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED",11
4000,K550,ACUTE VASCULAR DISORDERS OF INTESTINE,11
4001,K551,CHRONIC VASCULAR DISORDERS OF INTESTINE,11
4002,K552,ANGIODYSPLASIA OF COLON,11
4003,K558,OTHER VASCULAR DISORDERS OF INTESTINE,11
4004,K559,"VASCULAR DISORDER OF INTESTINE, UNSPECIFIED",11
4005,K560,PARALYTIC ILEUS,11
4006,K561,INTUSSUSCEPTION,11
4007,K562,VOLVULUS,11
4008,K563,GALLSTONE ILEUS,11
4009,K564,OTHER IMPACTION OF INTESTINE,11
4010,K565,INTESTINAL ADHESIONS [BANDS] WITH OBSTRUCTION,11
4011,K566,OTHER AND UNSPECIFIED INTESTINAL OBSTRUCTION,11
4012,K567,"ILEUS, UNSPECIFIED",11
4013,K570,DIVERTICULAR DISEASE OF SMALL INTESTINE WITH PERFORATION AND ABSCESS,11
4014,K571,DIVERTICULAR DISEASE OF SMALL INTESTINE WITHOUT PERFORATION OR ABSCESS,11
4015,K572,DIVERTICULAR DISEASE OF LARGE INTESTINE WITH PERFORATION AND ABSCESS,11
4016,K573,DIVERTICULAR DISEASE OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS,11
4017,K574,DIVERTICULAR DISEASE OF BOTH SMALL AND LARGE INTESTINE WITH PERFORATION AND ABSCESS,11
4018,K575,DIVERTICULAR DISEASE OF BOTH SMALL AND LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS,11
4019,K578,"DIVERTICULAR DISEASE OF INTESTINE, PART UNSPECIFIED, WITH PERFORATION AND ABSCESS",11
4020,K579,"DIVERTICULAR DISEASE OF INTESTINE, PART UNSPECIFIED, WITHOUT PERFORATION OR ABSCESS",11
4021,K580,IRRITABLE BOWEL SYNDROME WITH DIARRHOEA,11
4022,K589,IRRITABLE BOWEL SYNDROME WITHOUT DIARRHOEA,11
4023,K590,CONSTIPATION,11
4024,K591,FUNCTIONAL DIARRHOEA,11
4025,K592,"NEUROGENIC BOWEL, NOT ELSEWHERE CLASSIFIED",11
4026,K593,"MEGACOLON, NOT ELSEWHERE CLASSIFIED",11
4027,K594,ANAL SPASM,11
4028,K598,OTHER SPECIFIED FUNCTIONAL INTESTINAL DISORDERS,11
4029,K599,"FUNCTIONAL INTESTINAL DISORDER, UNSPECIFIED",11
4030,K600,ACUTE ANAL FISSURE,11
4031,K601,CHRONIC ANAL FISSURE,11
4032,K602,"ANAL FISSURE, UNSPECIFIED",11
4033,K603,ANAL FISTULA,11
4034,K604,RECTAL FISTULA,11
4035,K605,ANORECTAL FISTULA,11
4036,K610,ANAL ABSCESS,11
4037,K611,RECTAL ABSCESS,11
4038,K612,ANORECTAL ABSCESS,11
4039,K613,ISCHIORECTAL ABSCESS,11
4040,K614,INTRASPHINCTERIC ABSCESS,11
4041,K620,ANAL POLYP,11
4042,K621,RECTAL POLYP,11
4043,K622,ANAL PROLAPSE,11
4044,K623,RECTAL PROLAPSE,11
4045,K624,STENOSIS OF ANUS AND RECTUM,11
4046,K625,HAEMORRHAGE OF ANUS AND RECTUM,11
4047,K626,ULCER OF ANUS AND RECTUM,11
4048,K627,RADIATION PROCTITIS,11
4049,K628,OTHER SPECIFIED DISEASES OF ANUS AND RECTUM,11
4050,K629,"DISEASE OF ANUS AND RECTUM, UNSPECIFIED",11
4051,K630,ABSCESS OF INTESTINE,11
4052,K631,PERFORATION OF INTESTINE (NONTRAUMATIC),11
4053,K632,FISTULA OF INTESTINE,11
4054,K633,ULCER OF INTESTINE,11
4055,K634,ENTEROPTOSIS,11
4056,K635,POLYP OF COLON,11
4057,K638,OTHER SPECIFIED DISEASES OF INTESTINE,11
4058,K639,"DISEASE OF INTESTINE, UNSPECIFIED",11
4059,K650,ACUTE PERITONITIS,11
4060,K658,OTHER PERITONITIS,11
4061,K659,"PERITONITIS, UNSPECIFIED",11
4062,K660,PERITONEAL ADHESIONS,11
4063,K661,HAEMOPERITONEUM,11
4064,K668,OTHER SPECIFIED DISORDERS OF PERITONEUM,11
4065,K669,"DISORDER OF PERITONEUM, UNSPECIFIED",11
4066,K670,CHLAMYDIAL PERITONITIS,11
4067,K671,GONOCOCCAL PERITONITIS,11
4068,K672,SYPHILITIC PERITONITIS,11
4069,K673,TUBERCULOUS PERITONITIS,11
4070,K678,OTHER DISORDERS OF PERITONEUM IN INFECTIOUS DISEASES CLASSIFIED ELSEWHERE,11
4071,K700,ALCOHOLIC FATTY LIVER,11
4072,K701,ALCOHOLIC HEPATITIS,11
4073,K702,ALCOHOLIC FIBROSIS AND SCLEROSIS OF LIVER,11
4074,K703,ALCOHOLIC CIRRHOSIS OF LIVER,11
4075,K704,ALCOHOLIC HEPATIC FAILURE,11
4076,K709,"ALCOHOLIC LIVER DISEASE, UNSPECIFIED",11
4077,K710,TOXIC LIVER DISEASE WITH CHOLESTASIS,11
4078,K711,TOXIC LIVER DISEASE WITH HEPATIC NECROSIS,11
4079,K712,TOXIC LIVER DISEASE WITH ACUTE HEPATITIS,11
4080,K713,TOXIC LIVER DISEASE WITH CHRONIC PERSISTENT HEPATITIS,11
4081,K714,TOXIC LIVER DISEASE WITH CHRONIC LOBULAR HEPATITIS,11
4082,K715,TOXIC LIVER DISEASE WITH CHRONIC ACTIVE HEPATITIS,11
4083,K716,"TOXIC LIVER DISEASE WITH HEPATITIS, NOT ELSEWHERE CLASSIFIED",11
4084,K717,TOXIC LIVER DISEASE WITH FIBROSIS AND CIRRHOSIS OF LIVER,11
4085,K718,TOXIC LIVER DISEASE WITH OTHER DISORDERS OF LIVER,11
4086,K719,"TOXIC LIVER DISEASE, UNSPECIFIED",11
4087,K720,ACUTE AND SUBACUTE HEPATIC FAILURE,11
4088,K721,CHRONIC HEPATIC FAILURE,11
4089,K729,"HEPATIC FAILURE, UNSPECIFIED",11
4090,K730,"CHRONIC PERSISTENT HEPATITIS, NOT ELSEWHERE CLASSIFIED",11
4091,K731,"CHRONIC LOBULAR HEPATITIS, NOT ELSEWHERE CLASSIFIED",11
4092,K732,"CHRONIC ACTIVE HEPATITIS, NOT ELSEWHERE CLASSIFIED",11
4093,K738,"OTHER CHRONIC HEPATITIS, NOT ELSEWHERE CLASSIFIED",11
4094,K739,"CHRONIC HEPATITIS, UNSPECIFIED",11
4095,K740,HEPATIC FIBROSIS,11
4096,K741,HEPATIC SCLEROSIS,11
4097,K742,HEPATIC FIBROSIS WITH HEPATIC SCLEROSIS,11
4098,K743,PRIMARY BILIARY CIRRHOSIS,11
4099,K744,SECONDARY BILIARY CIRRHOSIS,11
4100,K745,"BILIARY CIRRHOSIS, UNSPECIFIED",11
4101,K746,OTHER AND UNSPECIFIED CIRRHOSIS OF LIVER,11
4102,K750,ABSCESS OF LIVER,11
4103,K751,PHLEBITIS OF PORTAL VEIN,11
4104,K752,NONSPECIFIC REACTIVE HEPATITIS,11
4105,K753,"GRANULOMATOUS HEPATITIS, NOT ELSEWHERE CLASSIFIED",11
4106,K754,AUTOIMMUNE HEPATITIS,11
4107,K758,OTHER SPECIFIED INFLAMMATORY LIVER DISEASES,11
4108,K759,"INFLAMMATORY LIVER DISEASE, UNSPECIFIED",11
4109,K760,"FATTY (CHANGE OF) LIVER, NOT ELSEWHERE CLASSIFIED",11
4110,K761,CHRONIC PASSIVE CONGESTION OF LIVER,11
4111,K762,CENTRAL HAEMORRHAGIC NECROSIS OF LIVER,11
4112,K763,INFARCTION OF LIVER,11
4113,K764,PELIOSIS HEPATIS,11
4114,K765,HEPATIC VENO-OCCLUSIVE DISEASE,11
4115,K766,PORTAL HYPERTENSION,11
4116,K767,HEPATORENAL SYNDROME,11
4117,K768,OTHER SPECIFIED DISEASES OF LIVER,11
4118,K769,"LIVER DISEASE, UNSPECIFIED",11
4119,K770,LIVER DISORDERS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,11
4120,K778,LIVER DISORDERS IN OTHER DISEASES CLASSIFIED ELSEWHERE,11
4121,K800,CALCULUS OF GALLBLADDER WITH ACUTE CHOLECYSTITIS,11
4122,K801,CALCULUS OF GALLBLADDER WITH OTHER CHOLECYSTITIS,11
4123,K802,CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS,11
4124,K803,CALCULUS OF BILE DUCT WITH CHOLANGITIS,11
4125,K804,CALCULUS OF BILE DUCT WITH CHOLECYSTITIS,11
4126,K805,CALCULUS OF BILE DUCT WITHOUT CHOLANGITIS OR CHOLECYSTITIS,11
4127,K808,OTHER CHOLELITHIASIS,11
4128,K810,ACUTE CHOLECYSTITIS,11
4129,K811,CHRONIC CHOLECYSTITIS,11
4130,K818,OTHER CHOLECYSTITIS,11
4131,K819,"CHOLECYSTITIS, UNSPECIFIED",11
4132,K820,OBSTRUCTION OF GALLBLADDER,11
4133,K821,HYDROPS OF GALLBLADDER,11
4134,K822,PERFORATION OF GALLBLADDER,11
4135,K823,FISTULA OF GALLBLADDER,11
4136,K824,CHOLESTEROLOSIS OF GALLBLADDER,11
4137,K828,OTHER SPECIFIED DISEASES OF GALLBLADDER,11
4138,K829,"DISEASE OF GALLBLADDER, UNSPECIFIED",11
4139,K830,CHOLANGITIS,11
4140,K831,OBSTRUCTION OF BILE DUCT,11
4141,K832,PERFORATION OF BILE DUCT,11
4142,K833,FISTULA OF BILE DUCT,11
4143,K834,SPASM OF SPHINCTER OF ODDI,11
4144,K835,BILIARY CYST,11
4145,K838,OTHER SPECIFIED DISEASES OF BILIARY TRACT,11
4146,K839,"DISEASE OF BILIARY TRACT, UNSPECIFIED",11
4147,K850,IDIOPATHIC ACUTE PANCREATITIS,11
4148,K851,BILIARY ACUTE PANCREATITIS,11
4149,K852,ALCOHOL-INDUCED ACUTE PANCREATITIS,11
4150,K853,DRUG-INDUCED ACUTE PANCREATITIS,11
4151,K858,OTHER ACUTE PANCREATITIS,11
4152,K859,"ACUTE PANCREATITIS, UNSPECIFIED",11
4153,K860,ALCOHOL-INDUCED CHRONIC PANCREATITIS,11
4154,K861,OTHER CHRONIC PANCREATITIS,11
4155,K862,CYST OF PANCREAS,11
4156,K863,PSEUDOCYST OF PANCREAS,11
4157,K868,OTHER SPECIFIED DISEASES OF PANCREAS,11
4158,K869,"DISEASE OF PANCREAS, UNSPECIFIED",11
4159,K870,DISORDERS OF GALLBLADDER AND BILIARY TRACT IN DISEASES CLASSIFIED ELSEWHERE,11
4160,K871,DISORDERS OF PANCREAS IN DISEASES CLASSIFIED ELSEWHERE,11
4161,K900,COELIAC DISEASE,11
4162,K901,TROPICAL SPRUE,11
4163,K902,"BLIND LOOP SYNDROME, NOT ELSEWHERE CLASSIFIED",11
4164,K903,PANCREATIC STEATORRHOEA,11
4165,K904,"MALABSORPTION DUE TO INTOLERANCE, NOT ELSEWHERE CLASSIFIED",11
4166,K908,OTHER INTESTINAL MALABSORPTION,11
4167,K909,"INTESTINAL MALABSORPTION, UNSPECIFIED",11
4168,K910,VOMITING FOLLOWING GASTROINTESTINAL SURGERY,11
4169,K911,POSTGASTRIC SURGERY SYNDROMES,11
4170,K912,"POSTSURGICAL MALABSORPTION, NOT ELSEWHERE CLASSIFIED",11
4171,K913,POSTOPERATIVE INTESTINAL OBSTRUCTION,11
4172,K914,COLOSTOMY AND ENTEROSTOMY MALFUNCTION,11
4173,K915,POSTCHOLECYSTECTOMY SYNDROME,11
4174,K918,"OTHER POSTPROCEDURAL DISORDERS OF DIGESTIVE SYSTEM, NOT ELSEWHERE CLASSIFIED",11
4175,K919,"POSTPROCEDURAL DISORDER OF DIGESTIVE SYSTEM, UNSPECIFIED",11
4176,K920,HAEMATEMESIS,11
4177,K921,MELAENA,11
4178,K922,"GASTROINTESTINAL HAEMORRHAGE, UNSPECIFIED",11
4179,K928,OTHER SPECIFIED DISEASES OF DIGESTIVE SYSTEM,11
4180,K929,"DISEASE OF DIGESTIVE SYSTEM, UNSPECIFIED",11
4181,K930,"TUBERCULOUS DISORDERS OF INTESTINES, PERITONEUM AND MESENTERIC GLANDS",11
4182,K931,MEGACOLON IN CHAGAS' DISEASE,11
4183,K938,DISORDERS OF OTHER SPECIFIED DIGESTIVE ORGANS IN DISEASES CLASSIFIED ELSEWHERE,11
4184,L00X,STAPHYLOCOCCAL SCALDED SKIN SYNDROME,12
4185,L010,IMPETIGO [ANY ORGANISM] [ANY SITE],12
4186,L011,IMPETIGINIZATION OF OTHER DERMATOSES,12
4187,L020,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE OF FACE",12
4188,L021,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE OF NECK",12
4189,L022,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE OF TRUNK",12
4190,L023,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE OF BUTTOCK",12
4191,L024,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE OF LIMB",12
4192,L028,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE OF OTHER SITES",12
4193,L029,"CUTANEOUS ABSCESS, FURUNCLE AND CARBUNCLE, UNSPECIFIED",12
4194,L030,CELLULITIS OF FINGER AND TOE,12
4195,L031,CELLULITIS OF OTHER PARTS OF LIMB,12
4196,L032,CELLULITIS OF FACE,12
4197,L033,CELLULITIS OF TRUNK,12
4198,L038,CELLULITIS OF OTHER SITES,12
4199,L039,"CELLULITIS, UNSPECIFIED",12
4200,L040,"ACUTE LYMPHADENITIS OF FACE, HEAD AND NECK",12
4201,L041,ACUTE LYMPHADENITIS OF TRUNK,12
4202,L042,ACUTE LYMPHADENITIS OF UPPER LIMB,12
4203,L043,ACUTE LYMPHADENITIS OF LOWER LIMB,12
4204,L048,ACUTE LYMPHADENITIS OF OTHER SITES,12
4205,L049,"ACUTE LYMPHADENITIS, UNSPECIFIED",12
4206,L050,PILONIDAL CYST WITH ABSCESS,12
4207,L059,PILONIDAL CYST WITHOUT ABSCESS,12
4208,L080,PYODERMA,12
4209,L081,ERYTHRASMA,12
4210,L088,OTHER SPECIFIED LOCAL INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE,12
4211,L089,"LOCAL INFECTION OF SKIN AND SUBCUTANEOUS TISSUE, UNSPECIFIED",12
4212,L100,PEMPHIGUS VULGARIS,12
4213,L101,PEMPHIGUS VEGETANS,12
4214,L102,PEMPHIGUS FOLIACEUS,12
4215,L103,BRAZILIAN PEMPHIGUS [FOGO SELVAGEM],12
4216,L104,PEMPHIGUS ERYTHEMATOSUS,12
4217,L105,DRUG-INDUCED PEMPHIGUS,12
4218,L108,OTHER PEMPHIGUS,12
4219,L109,"PEMPHIGUS, UNSPECIFIED",12
4220,L110,ACQUIRED KERATOSIS FOLLICULARIS,12
4221,L111,TRANSIENT ACANTHOLYTIC DERMATOSIS [GROVER],12
4222,L118,OTHER SPECIFIED ACANTHOLYTIC DISORDERS,12
4223,L119,"ACANTHOLYTIC DISORDER, UNSPECIFIED",12
4224,L120,BULLOUS PEMPHIGOID,12
4225,L121,CICATRICIAL PEMPHIGOID,12
4226,L122,CHRONIC BULLOUS DISEASE OF CHILDHOOD,12
4227,L123,ACQUIRED EPIDERMOLYSIS BULLOSA,12
4228,L128,OTHER PEMPHIGOID,12
4229,L129,"PEMPHIGOID, UNSPECIFIED",12
4230,L130,DERMATITIS HERPETIFORMIS,12
4231,L131,SUBCORNEAL PUSTULAR DERMATITIS,12
4232,L138,OTHER SPECIFIED BULLOUS DISORDERS,12
4233,L139,"BULLOUS DISORDER, UNSPECIFIED",12
4234,L14X,BULLOUS DISORDERS IN DISEASES CLASSIFIED ELSEWHERE,12
4235,L200,BESNIER'S PRURIGO,12
4236,L208,OTHER ATOPIC DERMATITIS,12
4237,L209,"ATOPIC DERMATITIS, UNSPECIFIED",12
4238,L210,SEBORRHOEA CAPITIS,12
4239,L211,SEBORRHOEIC INFANTILE DERMATITIS,12
4240,L218,OTHER SEBORRHOEIC DERMATITIS,12
4241,L219,"SEBORRHOEIC DERMATITIS, UNSPECIFIED",12
4242,L22X,DIAPER [NAPKIN] DERMATITIS,12
4243,L230,ALLERGIC CONTACT DERMATITIS DUE TO METALS,12
4244,L231,ALLERGIC CONTACT DERMATITIS DUE TO ADHESIVES,12
4245,L232,ALLERGIC CONTACT DERMATITIS DUE TO COSMETICS,12
4246,L233,ALLERGIC CONTACT DERMATITIS DUE TO DRUGS IN CONTACT WITH SKIN,12
4247,L234,ALLERGIC CONTACT DERMATITIS DUE TO DYES,12
4248,L235,ALLERGIC CONTACT DERMATITIS DUE TO OTHER CHEMICAL PRODUCTS,12
4249,L236,ALLERGIC CONTACT DERMATITIS DUE TO FOOD IN CONTACT WITH SKIN,12
4250,L237,"ALLERGIC CONTACT DERMATITIS DUE TO PLANTS, EXCEPT FOOD",12
4251,L238,ALLERGIC CONTACT DERMATITIS DUE TO OTHER AGENTS,12
4252,L239,"ALLERGIC CONTACT DERMATITIS, UNSPECIFIED CAUSE",12
4253,L240,IRRITANT CONTACT DERMATITIS DUE TO DETERGENTS,12
4254,L241,IRRITANT CONTACT DERMATITIS DUE TO OILS AND GREASES,12
4255,L242,IRRITANT CONTACT DERMATITIS DUE TO SOLVENTS,12
4256,L243,IRRITANT CONTACT DERMATITIS DUE TO COSMETICS,12
4257,L244,IRRITANT CONTACT DERMATITIS DUE TO DRUGS IN CONTACT WITH SKIN,12
4258,L245,IRRITANT CONTACT DERMATITIS DUE TO OTHER CHEMICAL PRODUCTS,12
4259,L246,IRRITANT CONTACT DERMATITIS DUE TO FOOD IN CONTACT WITH SKIN,12
4260,L247,"IRRITANT CONTACT DERMATITIS DUE TO PLANTS, EXCEPT FOOD",12
4261,L248,IRRITANT CONTACT DERMATITIS DUE TO OTHER AGENTS,12
4262,L249,"IRRITANT CONTACT DERMATITIS, UNSPECIFIED CAUSE",12
4263,L250,UNSPECIFIED CONTACT DERMATITIS DUE TO COSMETICS,12
4264,L251,UNSPECIFIED CONTACT DERMATITIS DUE TO DRUGS IN CONTACT WITH SKIN,12
