id,description,icd
6046,CONGENITAL PNEUMONIA DUE TO OTHER ORGANISMS,6046
6047,CONGENITAL PNEUMONIA UNSPECIFIED,6047
6048,NEONATAL ASPIRATION OF MECONIUM,6048
6049,NEONATAL ASPIRATION OF AMNIOTIC FLUID AND MUCUS,6049
6050,NEONATAL ASPIRATION OF BLOOD,6050
6051,NEONATAL ASPIRATION OF MILK AND REGURGITATED FOOD,6051
6052,OTHER NEONATAL ASPIRATION SYNDROMES,6052
6053,NEONATAL ASPIRATION SYNDROME UNSPECIFIED,6053
6054,INTERSTITIAL EMPHYSEMA ORIGINATING IN THE PERINATAL PERIOD,6054
6055,PNEUMOTHORAX ORIGINATING IN THE PERINATAL PERIOD,6055
6056,PNEUMOMEDIASTINUM ORIGINATING IN THE PERINATAL PERIOD,6056
6057,PNEUMOPERICARDIUM ORIGINATING IN THE PERINATAL PERIOD,6057
6058,OTHER CONDITIONS RELATED TO INTERSTITIAL EMPHYSEMA ORIGINATING IN THE PERINATAL PERIOD,6058
6059,TRACHEOBRONCHIAL HAEMORRHAGE ORIGINATING IN THE PERINATAL PERIOD,6059
6060,MASSIVE PULMONARY HAEMORRHAGE ORIGINATING IN THE PERINATAL PERIOD,6060
6061,OTHER PULMONARY HAEMORRHAGES ORIGINATING IN THE PERINATAL PERIOD,6061
6062,UNSPECIFIED PULMONARY HAEMORRHAGE ORIGINATING IN THE PERINATAL PERIOD,6062
6063,WILSON MIKITY SYNDROME,6063
6064,BRONCHOPULMONARY DYSPLASIA ORIGINATING IN THE PERINATAL PERIOD,6064
6065,OTHER CHRONIC RESPIRATORY DISEASES ORIGINATING IN THE PERINATAL PERIOD,6065
6066,UNSPECIFIED CHRONIC RESPIRATORY DISEASE ORIGINATING IN THE PERINATAL PERIOD,6066
6067,PRIMARY ATELECTASIS OF NEWBORN,6067
6068,OTHER AND UNSPECIFIED ATELECTASIS OF NEWBORN,6068
6069,CYANOTIC ATTACKS OF NEWBORN,6069
6070,PRIMARY SLEEP APNOEA OF NEWBORN,6070
6071,OTHER APNOEA OF NEWBORN,6071
6072,RESPIRATORY FAILURE OF NEWBORN,6072
6073,OTHER SPECIFIED RESPIRATORY CONDITIONS OF NEWBORN,6073
6074,RESPIRATORY CONDITION OF NEWBORN UNSPECIFIED,6074
6075,NEONATAL CARDIAC FAILURE,6075
6076,NEONATAL CARDIAC DYSRHYTHMIA,6076
6077,NEONATAL HYPERTENSION,6077
6078,PERSISTENT FETAL CIRCULATION,6078
6079,TRANSIENT MYOCARDIAL ISCHAEMIA OF NEWBORN,6079
6080,OTHER CARDIOVASCULAR DISORDERS ORIGINATING IN THE PERINATAL PERIOD,6080
6081,CARDIOVASCULAR DISORDER ORIGINATING IN THE PERINATAL PERIOD UNSPECIFIED,6081
6082,CONGENITAL RUBELLA SYNDROME,6082
6083,CONGENITAL CYTOMEGALOVIRUS INFECTION,6083
6084,CONGENITAL HERPESVIRAL HERPES SIMPLEX INFECTION,6084
6085,CONGENITAL VIRAL HEPATITIS,6085
6086,OTHER CONGENITAL VIRAL DISEASES,6086
6087,CONGENITAL VIRAL DISEASE UNSPECIFIED,6087
6088,SEPSIS OF NEWBORN DUE TO STREPTOCOCCUS GROUP B,6088
6089,SEPSIS OF NEWBORN DUE TO OTHER AND UNSPECIFIED STREPTOCOCCI,6089
6090,SEPSIS OF NEWBORN DUE TO STAPHYLOCOCCUS AUREUS,6090
6091,SEPSIS OF NEWBORN DUE TO OTHER AND UNSPECIFIED STAPHYLOCOCCI,6091
6092,SEPSIS OF NEWBORN DUE TO ESCHERICHIA COLI,6092
6093,SEPSIS OF NEWBORN DUE TO ANAEROBES,6093
6094,OTHER BACTERIAL SEPSIS OF NEWBORN,6094
6095,BACTERIAL SEPSIS OF NEWBORN UNSPECIFIED,6095
6096,CONGENITAL TUBERCULOSIS,6096
6097,CONGENITAL TOXOPLASMOSIS,6097
6098,NEONATAL DISSEMINATED LISTERIOSIS,6098
6099,CONGENITAL FALCIPARUM MALARIA,6099
6100,OTHER CONGENITAL MALARIA,6100
6101,NEONATAL CANDIDIASIS,6101
6102,OTHER SPECIFIED CONGENITAL INFECTIOUS AND PARASITIC DISEASES,6102
6103,CONGENITAL INFECTIOUS AND PARASITIC DISEASE UNSPECIFIED,6103
6104,OMPHALITIS OF NEWBORN WITH OR WITHOUT MILD HAEMORRHAGE,6104
6105,NEONATAL INFECTIVE MASTITIS,6105
6106,NEONATAL CONJUNCTIVITIS AND DACRYOCYSTITIS,6106
6107,INTRA AMNIOTIC INFECTION OF FETUS NOT ELSEWHERE CLASSIFIED,6107
6108,NEONATAL URINARY TRACT INFECTION,6108
6109,NEONATAL SKIN INFECTION,6109
6110,OTHER SPECIFIED INFECTIONS SPECIFIC TO THE PERINATAL PERIOD,6110
6111,INFECTION SPECIFIC TO THE PERINATAL PERIOD UNSPECIFIED,6111
6112,FETAL BLOOD LOSS FROM VASA PRAEVIA,6112
6113,FETAL BLOOD LOSS FROM RUPTURED CORD,6113
6114,FETAL BLOOD LOSS FROM PLACENTA,6114
6115,HAEMORRHAGE INTO CO TWIN,6115
6116,HAEMORRHAGE INTO MATERNAL CIRCULATION,6116
6117,FETAL BLOOD LOSS FROM CUT END OF CO TWIN S CORD,6117
6118,OTHER FETAL BLOOD LOSS,6118
6119,FETAL BLOOD LOSS UNSPECIFIED,6119
6120,MASSIVE UMBILICAL HAEMORRHAGE OF NEWBORN,6120
6121,OTHER UMBILICAL HAEMORRHAGES OF NEWBORN,6121
6122,UMBILICAL HAEMORRHAGE OF NEWBORN UNSPECIFIED,6122
6123,INTRAVENTRICULAR NONTRAUMATIC HAEMORRHAGE GRADE 1 OF FETUS AND NEWBORN,6123
6124,INTRAVENTRICULAR NONTRAUMATIC HAEMORRHAGE GRADE 2 OF FETUS AND NEWBORN,6124
6125,INTRAVENTRICULAR NONTRAUMATIC HAEMORRHAGE GRADE 3 OF FETUS AND NEWBORN,6125
6126,UNSPECIFIED INTRAVENTRICULAR NONTRAUMATIC HAEMORRHAGE OF FETUS AND NEWBORN,6126
6127,INTRACEREBRAL NONTRAUMATIC HAEMORRHAGE OF FETUS AND NEWBORN,6127
6128,SUBARACHNOID NONTRAUMATIC HAEMORRHAGE OF FETUS AND NEWBORN,6128
6129,CEREBELLAR NONTRAUMATIC AND POSTERIOR FOSSA HAEMORRHAGE OF FETUS AND NEWBORN,6129
6130,OTHER INTRACRANIAL NONTRAUMATIC HAEMORRHAGES OF FETUS AND NEWBORN,6130
6131,INTRACRANIAL NONTRAUMATIC HAEMORRHAGE OF FETUS AND NEWBORN UNSPECIFIED,6131
6132,HAEMORRHAGIC DISEASE OF FETUS AND NEWBORN,6132
6133,NEONATAL HAEMATEMESIS,6133
6134,NEONATAL MELAENA,6134
6135,NEONATAL RECTAL HAEMORRHAGE,6135
6136,OTHER NEONATAL GASTROINTESTINAL HAEMORRHAGE,6136
6137,NEONATAL ADRENAL HAEMORRHAGE,6137
6138,NEONATAL CUTANEOUS HAEMORRHAGE,6138
6139,NEONATAL VAGINAL HAEMORRHAGE,6139
6140,OTHER SPECIFIED NEONATAL HAEMORRHAGES,6140
6141,NEONATAL HAEMORRHAGE UNSPECIFIED,6141
6142,RH ISOIMMUNIZATION OF FETUS AND NEWBORN,6142
6143,ABO ISOIMMUNIZATION OF FETUS AND NEWBORN,6143
6144,OTHER HAEMOLYTIC DISEASES OF FETUS AND NEWBORN,6144
6145,HAEMOLYTIC DISEASE OF FETUS AND NEWBORN UNSPECIFIED,6145
6146,HYDROPS FETALIS DUE TO ISOIMMUNIZATION,6146
6147,HYDROPS FETALIS DUE TO OTHER AND UNSPECIFIED HAEMOLYTIC DISEASE,6147
6148,KERNICTERUS DUE TO ISOIMMUNIZATION,6148
6149,OTHER SPECIFIED KERNICTERUS,6149
6150,KERNICTERUS UNSPECIFIED,6150
6151,NEONATAL JAUNDICE DUE TO BRUISING,6151
6152,NEONATAL JAUNDICE DUE TO BLEEDING,6152
6153,NEONATAL JAUNDICE DUE TO INFECTION,6153
6154,NEONATAL JAUNDICE DUE TO POLYCYTHAEMIA,6154
6155,NEONATAL JAUNDICE DUE TO DRUGS OR TOXINS TRANSMITTED FROM MOTHER OR GIVEN TO NEWBORN,6155
6156,NEONATAL JAUNDICE DUE TO SWALLOWED MATERNAL BLOOD,6156
6157,NEONATAL JAUNDICE DUE TO OTHER SPECIFIED EXCESSIVE HAEMOLYSIS,6157
6158,NEONATAL JAUNDICE DUE TO EXCESSIVE HAEMOLYSIS UNSPECIFIED,6158
6159,NEONATAL JAUNDICE ASSOCIATED WITH PRETERM DELIVERY,6159
6160,INSPISSATED BILE SYNDROME,6160
6161,NEONATAL JAUNDICE FROM OTHER AND UNSPECIFIED HEPATOCELLULAR DAMAGE,6161
6162,NEONATAL JAUNDICE FROM BREAST MILK INHIBITOR,6162
6163,NEONATAL JAUNDICE FROM OTHER SPECIFIED CAUSES,6163
6164,NEONATAL JAUNDICE UNSPECIFIED,6164
6165,DISSEMINATED INTRAVASCULAR COAGULATION OF FETUS AND NEWBORN,6165
6166,TRANSIENT NEONATAL THROMBOCYTOPENIA,6166
6167,POLYCYTHAEMIA NEONATORUM,6167
6168,ANAEMIA OF PREMATURITY,6168
6169,CONGENITAL ANAEMIA FROM FETAL BLOOD LOSS,6169
6170,OTHER CONGENITAL ANAEMIAS NOT ELSEWHERE CLASSIFIED,6170
6171,TRANSIENT NEONATAL NEUTROPENIA,6171
6172,OTHER TRANSIENT NEONATAL DISORDERS OF COAGULATION,6172
6173,OTHER SPECIFIED PERINATAL HAEMATOLOGICAL DISORDERS,6173
6174,PERINATAL HAEMATOLOGICAL DISORDER UNSPECIFIED,6174
6175,SYNDROME OF INFANT OF MOTHER WITH GESTATIONAL DIABETES,6175
6176,SYNDROME OF INFANT OF A DIABETIC MOTHER,6176
6177,NEONATAL DIABETES MELLITUS,6177
6178,IATROGENIC NEONATAL HYPOGLYCAEMIA,6178
6179,OTHER NEONATAL HYPOGLYCAEMIA,6179
6180,OTHER TRANSITORY DISORDERS OF CARBOHYDRATE METABOLISM OF FETUS AND NEWBORN,6180
6181,TRANSITORY DISORDER OF CARBOHYDRATE METABOLISM OF FETUS AND NEWBORN UNSPECIFIED,6181
6182,COW S MILK HYPOCALCAEMIA IN NEWBORN,6182
6183,OTHER NEONATAL HYPOCALCAEMIA,6183
6184,NEONATAL HYPOMAGNESAEMIA,6184
6185,NEONATAL TETANY WITHOUT CALCIUM OR MAGNESIUM DEFICIENCY,6185
6186,TRANSITORY NEONATAL HYPOPARATHYROIDISM,6186
6187,OTHER TRANSITORY NEONATAL DISORDERS OF CALCIUM AND MAGNESIUM METABOLISM,6187
6188,TRANSITORY NEONATAL DISORDER OF CALCIUM AND MAGNESIUM METABOLISM UNSPECIFIED,6188
6189,NEONATAL GOITRE NOT ELSEWHERE CLASSIFIED,6189
6190,TRANSITORY NEONATAL HYPERTHYROIDISM,6190
6191,OTHER TRANSITORY NEONATAL DISORDERS OF THYROID FUNCTION NOT ELSEWHERE CLASSIFIED,6191
6192,OTHER SPECIFIED TRANSITORY NEONATAL ENDOCRINE DISORDERS,6192
6193,TRANSITORY NEONATAL ENDOCRINE DISORDER UNSPECIFIED,6193
6194,LATE METABOLIC ACIDOSIS OF NEWBORN,6194
6195,DEHYDRATION OF NEWBORN,6195
6196,DISTURBANCES OF SODIUM BALANCE OF NEWBORN,6196
6197,DISTURBANCES OF POTASSIUM BALANCE OF NEWBORN,6197
6198,OTHER TRANSITORY ELECTROLYTE DISTURBANCES OF NEWBORN,6198
6199,TRANSITORY TYROSINAEMIA OF NEWBORN,6199
6200,OTHER TRANSITORY METABOLIC DISTURBANCES OF NEWBORN,6200
6201,TRANSITORY METABOLIC DISTURBANCE OF NEWBORN UNSPECIFIED,6201
6202,MECONIUM ILEUS,6202
6203,MECONIUM PLUG SYNDROME,6203
6204,TRANSITORY ILEUS OF NEWBORN,6204
6205,INTESTINAL OBSTRUCTION DUE TO INSPISSATED MILK,6205
6206,OTHER SPECIFIED INTESTINAL OBSTRUCTION OF NEWBORN,6206
6207,INTESTINAL OBSTRUCTION OF NEWBORN UNSPECIFIED,6207
6208,NECROTIZING ENTEROCOLITIS OF FETUS AND NEWBORN,6208
6209,PERINATAL INTESTINAL PERFORATION,6209
6210,OTHER NEONATAL PERITONITIS,6210
6211,NEONATAL HAEMATEMESIS AND MELAENA DUE TO SWALLOWED MATERNAL BLOOD,6211
6212,NONINFECTIVE NEONATAL DIARRHOEA,6212
6213,OTHER SPECIFIED PERINATAL DIGESTIVE SYSTEM DISORDERS,6213
6214,PERINATAL DIGESTIVE SYSTEM DISORDER UNSPECIFIED,6214
6215,COLD INJURY SYNDROME,6215
6216,OTHER HYPOTHERMIA OF NEWBORN,6216
6217,HYPOTHERMIA OF NEWBORN UNSPECIFIED,6217
6218,ENVIRONMENTAL HYPERTHERMIA OF NEWBORN,6218
6219,OTHER SPECIFIED DISTURBANCES OF TEMPERATURE REGULATION OF NEWBORN,6219
6220,DISTURBANCE OF TEMPERATURE REGULATION OF NEWBORN UNSPECIFIED,6220
6221,SCLEREMA NEONATORUM,6221
6222,NEONATAL ERYTHEMA TOXICUM,6222
6223,HYDROPS FETALIS NOT DUE TO HAEMOLYTIC DISEASE,6223
6224,OTHER AND UNSPECIFIED OEDEMA SPECIFIC TO FETUS AND NEWBORN,6224
6225,BREAST ENGORGEMENT OF NEWBORN,6225
6226,CONGENITAL HYDROCELE,6226
6227,UMBILICAL POLYP OF NEWBORN,6227
6228,OTHER SPECIFIED CONDITIONS OF INTEGUMENT SPECIFIC TO FETUS AND NEWBORN,6228
6229,CONDITION OF INTEGUMENT SPECIFIC TO FETUS AND NEWBORN UNSPECIFIED,6229
6230,CONVULSIONS OF NEWBORN,6230
6231,NEONATAL CEREBRAL ISCHAEMIA,6231
6232,ACQUIRED PERIVENTRICULAR CYSTS OF NEWBORN,6232
6233,NEONATAL CEREBRAL LEUKOMALACIA,6233
6234,NEONATAL CEREBRAL IRRITABILITY,6234
6235,NEONATAL CEREBRAL DEPRESSION,6235
6236,NEONATAL COMA,6236
6237,HYPOXIC ISCHAEMIC ENCEPHALOPATHY OF NEWBORN,6237
6238,OTHER SPECIFIED DISTURBANCES OF CEREBRAL STATUS OF NEWBORN,6238
6239,DISTURBANCE OF CEREBRAL STATUS OF NEWBORN UNSPECIFIED,6239
6240,VOMITING IN NEWBORN,6240
6241,REGURGITATION AND RUMINATION IN NEWBORN,6241
6242,SLOW FEEDING OF NEWBORN,6242
6243,UNDERFEEDING OF NEWBORN,6243
6244,OVERFEEDING OF NEWBORN,6244
6245,NEONATAL DIFFICULTY IN FEEDING AT BREAST,6245
6246,OTHER FEEDING PROBLEMS OF NEWBORN,6246
6247,FEEDING PROBLEM OF NEWBORN UNSPECIFIED,6247
6248,REACTIONS AND INTOXICATIONS DUE TO DRUGS ADMINISTERED TO FETUS AND NEWBORN,6248
6249,TRANSIENT NEONATAL MYASTHENIA GRAVIS,6249
6250,CONGENITAL HYPERTONIA,6250
6251,CONGENITAL HYPOTONIA,6251
6252,OTHER DISORDERS OF MUSCLE TONE OF NEWBORN,6252
6253,DISORDER OF MUSCLE TONE OF NEWBORN UNSPECIFIED,6253
6254,FETAL DEATH OF UNSPECIFIED CAUSE,6254
6255,CONGENITAL RENAL FAILURE,6255
6256,NEONATAL WITHDRAWAL SYMPTOMS FROM MATERNAL USE OF DRUGS OF ADDICTION,6256
6257,WITHDRAWAL SYMPTOMS FROM THERAPEUTIC USE OF DRUGS IN NEWBORN,6257
6258,WIDE CRANIAL SUTURES OF NEWBORN,6258
6259,TERMINATION OF PREGNANCY AFFECTING FETUS AND NEWBORN,6259
6260,COMPLICATIONS OF INTRAUTERINE PROCEDURES NOT ELSEWHERE CLASSIFIED,6260
6261,OTHER SPECIFIED CONDITIONS ORIGINATING IN THE PERINATAL PERIOD,6261
6262,CONDITION ORIGINATING IN THE PERINATAL PERIOD UNSPECIFIED,6262
6263,ANENCEPHALY,6263
6264,CRANIORACHISCHISIS,6264
6265,INIENCEPHALY,6265
6266,FRONTAL ENCEPHALOCELE,6266
6267,NASOFRONTAL ENCEPHALOCELE,6267
6268,OCCIPITAL ENCEPHALOCELE,6268
6269,ENCEPHALOCELE OF OTHER SITES,6269
6270,ENCEPHALOCELE UNSPECIFIED,6270
6271,MICROCEPHALY,6271
6272,MALFORMATIONS OF AQUEDUCT OF SYLVIUS,6272
6273,ATRESIA OF FORAMINA OF MAGENDIE AND LUSCHKA,6273
6274,OTHER CONGENITAL HYDROCEPHALUS,6274
6275,CONGENITAL HYDROCEPHALUS UNSPECIFIED,6275
6276,CONGENITAL MALFORMATIONS OF CORPUS CALLOSUM,6276
6277,ARHINENCEPHALY,6277
6278,HOLOPROSENCEPHALY,6278
6279,OTHER REDUCTION DEFORMITIES OF BRAIN,6279
6280,SEPTO OPTIC DYSPLASIA,6280
6281,MEGALENCEPHALY,6281
6282,CONGENITAL CEREBRAL CYSTS,6282
6283,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF BRAIN,6283
6284,CONGENITAL MALFORMATION OF BRAIN UNSPECIFIED,6284
6285,CERVICAL SPINA BIFIDA WITH HYDROCEPHALUS,6285
6286,THORACIC SPINA BIFIDA WITH HYDROCEPHALUS,6286
6287,LUMBAR SPINA BIFIDA WITH HYDROCEPHALUS,6287
6288,SACRAL SPINA BIFIDA WITH HYDROCEPHALUS,6288
6289,UNSPECIFIED SPINA BIFIDA WITH HYDROCEPHALUS,6289
6290,CERVICAL SPINA BIFIDA WITHOUT HYDROCEPHALUS,6290
6291,THORACIC SPINA BIFIDA WITHOUT HYDROCEPHALUS,6291
6292,LUMBAR SPINA BIFIDA WITHOUT HYDROCEPHALUS,6292
6293,SACRAL SPINA BIFIDA WITHOUT HYDROCEPHALUS,6293
6294,SPINA BIFIDA UNSPECIFIED,6294
6295,AMYELIA,6295
6296,HYPOPLASIA AND DYSPLASIA OF SPINAL CORD,6296
6297,DIASTEMATOMYELIA,6297
6298,OTHER CONGENITAL CAUDA EQUINA MALFORMATIONS,6298
6299,HYDROMYELIA,6299
6300,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF SPINAL CORD,6300
6301,CONGENITAL MALFORMATION OF SPINAL CORD UNSPECIFIED,6301
6302,ARNOLD CHIARI SYNDROME,6302
6303,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF NERVOUS SYSTEM,6303
6304,CONGENITAL MALFORMATION OF NERVOUS SYSTEM UNSPECIFIED,6304
6305,CONGENITAL PTOSIS,6305
6306,CONGENITAL ECTROPION,6306
6307,CONGENITAL ENTROPION,6307
6308,OTHER CONGENITAL MALFORMATIONS OF EYELID,6308
6309,ABSENCE AND AGENESIS OF LACRIMAL APPARATUS,6309
6310,CONGENITAL STENOSIS AND STRICTURE OF LACRIMAL DUCT,6310
6311,OTHER CONGENITAL MALFORMATIONS OF LACRIMAL APPARATUS,6311
6312,CONGENITAL MALFORMATION OF ORBIT,6312
6313,CYSTIC EYEBALL,6313
6314,OTHER ANOPHTHALMOS,6314
6315,MICROPHTHALMOS,6315
6316,MACROPHTHALMOS,6316
6317,CONGENITAL CATARACT,6317
6318,CONGENITAL DISPLACED LENS,6318
6319,COLOBOMA OF LENS,6319
6320,CONGENITAL APHAKIA,6320
6321,SPHEROPHAKIA,6321
6322,OTHER CONGENITAL LENS MALFORMATIONS,6322
6323,CONGENITAL LENS MALFORMATION UNSPECIFIED,6323
6324,COLOBOMA OF IRIS,6324
6325,ABSENCE OF IRIS,6325
6326,OTHER CONGENITAL MALFORMATIONS OF IRIS,6326
6327,CONGENITAL CORNEAL OPACITY,6327
6328,OTHER CONGENITAL CORNEAL MALFORMATIONS,6328
6329,BLUE SCLERA,6329
6330,OTHER CONGENITAL MALFORMATIONS OF ANTERIOR SEGMENT OF EYE,6330
6331,CONGENITAL MALFORMATION OF ANTERIOR SEGMENT OF EYE UNSPECIFIED,6331
6332,CONGENITAL MALFORMATION OF VITREOUS HUMOUR,6332
6333,CONGENITAL MALFORMATION OF RETINA,6333
6334,CONGENITAL MALFORMATION OF OPTIC DISC,6334
6335,CONGENITAL MALFORMATION OF CHOROID,6335
6336,OTHER CONGENITAL MALFORMATIONS OF POSTERIOR SEGMENT OF EYE,6336
6337,CONGENITAL MALFORMATION OF POSTERIOR SEGMENT OF EYE UNSPECIFIED,6337
6338,CONGENITAL GLAUCOMA,6338
6339,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF EYE,6339
6340,CONGENITAL MALFORMATION OF EYE UNSPECIFIED,6340
6341,CONGENITAL ABSENCE OF EAR AURICLE,6341
6342,CONGENITAL ABSENCE ATRESIA AND STRICTURE OF AUDITORY CANAL EXTERNAL,6342
6343,ABSENCE OF EUSTACHIAN TUBE,6343
6344,CONGENITAL MALFORMATION OF EAR OSSICLES,6344
6345,OTHER CONGENITAL MALFORMATIONS OF MIDDLE EAR,6345
6346,CONGENITAL MALFORMATION OF INNER EAR,6346
6347,CONGENITAL MALFORMATION OF EAR CAUSING IMPAIRMENT OF HEARING UNSPECIFIED,6347
6348,ACCESSORY AURICLE,6348
6349,MACROTIA,6349
6350,MICROTIA,6350
6351,OTHER MISSHAPEN EAR,6351
6352,MISPLACED EAR,6352
6353,PROMINENT EAR,6353
6354,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF EAR,6354
6355,CONGENITAL MALFORMATION OF EAR UNSPECIFIED,6355
6356,SINUS FISTULA AND CYST OF BRANCHIAL CLEFT,6356
6357,PREAURICULAR SINUS AND CYST,6357
6358,OTHER BRANCHIAL CLEFT MALFORMATIONS,6358
6359,WEBBING OF NECK,6359
6360,MACROSTOMIA,6360
6361,MICROSTOMIA,6361
6362,MACROCHEILIA,6362
6363,MICROCHEILIA,6363
6364,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF FACE AND NECK,6364
6365,CONGENITAL MALFORMATION OF FACE AND NECK UNSPECIFIED,6365
6366,COMMON ARTERIAL TRUNK,6366
6367,DOUBLE OUTLET RIGHT VENTRICLE,6367
6368,DOUBLE OUTLET LEFT VENTRICLE,6368
6369,DISCORDANT VENTRICULOARTERIAL CONNECTION,6369
6370,DOUBLE INLET VENTRICLE,6370
6371,DISCORDANT ATRIOVENTRICULAR CONNECTION,6371
6372,ISOMERISM OF ATRIAL APPENDAGES,6372
6373,OTHER CONGENITAL MALFORMATIONS OF CARDIAC CHAMBERS AND CONNECTIONS,6373
6374,CONGENITAL MALFORMATION OF CARDIAC CHAMBERS AND CONNECTIONS UNSPECIFIED,6374
6375,VENTRICULAR SEPTAL DEFECT,6375
6376,ATRIAL SEPTAL DEFECT,6376
6377,ATRIOVENTRICULAR SEPTAL DEFECT,6377
6378,TETRALOGY OF FALLOT,6378
6379,AORTOPULMONARY SEPTAL DEFECT,6379
6380,OTHER CONGENITAL MALFORMATIONS OF CARDIAC SEPTA,6380
6381,CONGENITAL MALFORMATION OF CARDIAC SEPTUM UNSPECIFIED,6381
6382,PULMONARY VALVE ATRESIA,6382
6383,CONGENITAL PULMONARY VALVE STENOSIS,6383
6384,CONGENITAL PULMONARY VALVE INSUFFICIENCY,6384
6385,OTHER CONGENITAL MALFORMATIONS OF PULMONARY VALVE,6385
6386,CONGENITAL TRICUSPID STENOSIS,6386
6387,EBSTEIN S ANOMALY,6387
6388,HYPOPLASTIC RIGHT HEART SYNDROME,6388
6389,OTHER CONGENITAL MALFORMATIONS OF TRICUSPID VALVE,6389
6390,CONGENITAL MALFORMATION OF TRICUSPID VALVE UNSPECIFIED,6390
6391,CONGENITAL STENOSIS OF AORTIC VALVE,6391
6392,CONGENITAL INSUFFICIENCY OF AORTIC VALVE,6392
6393,CONGENITAL MITRAL STENOSIS,6393
6394,CONGENITAL MITRAL INSUFFICIENCY,6394
6395,HYPOPLASTIC LEFT HEART SYNDROME,6395
6396,OTHER CONGENITAL MALFORMATIONS OF AORTIC AND MITRAL VALVES,6396
6397,CONGENITAL MALFORMATION OF AORTIC AND MITRAL VALVES UNSPECIFIED,6397
6398,DEXTROCARDIA,6398
6399,LAEVOCARDIA,6399
6400,COR TRIATRIATUM,6400
6401,PULMONARY INFUNDIBULAR STENOSIS,6401
6402,CONGENITAL SUBAORTIC STENOSIS,6402
6403,MALFORMATION OF CORONARY VESSELS,6403
6404,CONGENITAL HEART BLOCK,6404
6405,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF HEART,6405
6406,CONGENITAL MALFORMATION OF HEART UNSPECIFIED,6406
6407,PATENT DUCTUS ARTERIOSUS,6407
6408,COARCTATION OF AORTA,6408
6409,ATRESIA OF AORTA,6409
6410,STENOSIS OF AORTA,6410
6411,OTHER CONGENITAL MALFORMATIONS OF AORTA,6411
6412,ATRESIA OF PULMONARY ARTERY,6412
6413,STENOSIS OF PULMONARY ARTERY,6413
6414,OTHER CONGENITAL MALFORMATIONS OF PULMONARY ARTERY,6414
6415,OTHER CONGENITAL MALFORMATIONS OF GREAT ARTERIES,6415
6416,CONGENITAL MALFORMATION OF GREAT ARTERIES UNSPECIFIED,6416
6417,CONGENITAL STENOSIS OF VENA CAVA,6417
6418,PERSISTENT LEFT SUPERIOR VENA CAVA,6418
6419,TOTAL ANOMALOUS PULMONARY VENOUS CONNECTION,6419
6420,PARTIAL ANOMALOUS PULMONARY VENOUS CONNECTION,6420
6421,ANOMALOUS PULMONARY VENOUS CONNECTION UNSPECIFIED,6421
6422,ANOMALOUS PORTAL VENOUS CONNECTION,6422
6423,PORTAL VEIN HEPATIC ARTERY FISTULA,6423
6424,OTHER CONGENITAL MALFORMATIONS OF GREAT VEINS,6424
6425,CONGENITAL MALFORMATION OF GREAT VEIN UNSPECIFIED,6425
6426,CONGENITAL ABSENCE AND HYPOPLASIA OF UMBILICAL ARTERY,6426
6427,CONGENITAL RENAL ARTERY STENOSIS,6427
6428,OTHER CONGENITAL MALFORMATIONS OF RENAL ARTERY,6428
6429,PERIPHERAL ARTERIOVENOUS MALFORMATION,6429
6430,CONGENITAL PHLEBECTASIA,6430
6431,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF PERIPHERAL VASCULAR SYSTEM,6431
6432,CONGENITAL MALFORMATION OF PERIPHERAL VASCULAR SYSTEM UNSPECIFIED,6432
6433,ARTERIOVENOUS MALFORMATION OF PRECEREBRAL VESSELS,6433
6434,OTHER MALFORMATIONS OF PRECEREBRAL VESSELS,6434
6435,ARTERIOVENOUS MALFORMATION OF CEREBRAL VESSELS,6435
6436,OTHER MALFORMATIONS OF CEREBRAL VESSELS,6436
6437,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF CIRCULATORY SYSTEM,6437
6438,CONGENITAL MALFORMATION OF CIRCULATORY SYSTEM UNSPECIFIED,6438
6439,CHOANAL ATRESIA,6439
6440,AGENESIS AND UNDERDEVELOPMENT OF NOSE,6440
6441,FISSURED NOTCHED AND CLEFT NOSE,6441
6442,CONGENITAL PERFORATED NASAL SEPTUM,6442
6443,OTHER CONGENITAL MALFORMATIONS OF NOSE,6443
6444,CONGENITAL MALFORMATION OF NOSE UNSPECIFIED,6444
6445,WEB OF LARYNX,6445
6446,CONGENITAL SUBGLOTTIC STENOSIS,6446
6447,LARYNGEAL HYPOPLASIA,6447
6448,LARYNGOCELE,6448
6449,CONGENITAL LARYNGOMALACIA,6449
6450,OTHER CONGENITAL MALFORMATIONS OF LARYNX,6450
6451,CONGENITAL MALFORMATION OF LARYNX UNSPECIFIED,6451
6452,CONGENITAL TRACHEOMALACIA,6452
6453,OTHER CONGENITAL MALFORMATIONS OF TRACHEA,6453
6454,CONGENITAL BRONCHOMALACIA,6454
6455,CONGENITAL STENOSIS OF BRONCHUS,6455
